event_id,scenario_id,occurred_at,event_name,visitor_id,session_id,placement_id,properties,is_synthetic
evt_control_018,scenario_02_multi_touch,2026-09-08T12:04:00Z,manager_click,visitor_control_002,session_control_002b,pl_005,"{""course_id"":""course_data_analytics""}",true
evt_control_019,scenario_02_multi_touch,2026-09-08T12:04:05Z,lead_created,visitor_control_002,session_control_002b,pl_005,"{""lead_id"":""lead_control_002"",""course_id"":""course_data_analytics""}",true
evt_control_020,scenario_02_multi_touch,2026-09-08T12:07:00Z,conversation_started,visitor_control_002,session_control_002b,pl_005,"{""lead_id"":""lead_control_002"",""course_id"":""course_data_analytics""}",true
evt_control_021,scenario_02_multi_touch,2026-09-08T12:20:00Z,order_created,visitor_control_002,session_control_002b,pl_005,"{""lead_id"":""lead_control_002"",""order_id"":""order_control_002"",""course_id"":""course_data_analytics"",""amount"":42900,""currency"":""RUB"",""status"":""created"",""created_at"":""2026-09-08T12:20:00Z""}",true
evt_control_022,scenario_02_multi_touch,2026-09-08T12:30:00Z,payment_succeeded,visitor_control_002,session_control_002b,pl_005,"{""lead_id"":""lead_control_002"",""order_id"":""order_control_002"",""payment_id"":""payment_control_002"",""course_id"":""course_data_analytics"",""amount"":42900,""currency"":""RUB"",""status"":""succeeded"",""paid_at"":""2026-09-08T12:30:00Z""}",true
evt_control_023,scenario_02_multi_touch,2026-09-08T12:31:00Z,course_access_granted,visitor_control_002,session_control_002b,pl_005,"{""lead_id"":""lead_control_002"",""order_id"":""order_control_002"",""payment_id"":""payment_control_002"",""course_id"":""course_data_analytics"",""granted_at"":""2026-09-08T12:31:00Z""}",true
evt_control_024,scenario_03_lead_no_payment,2026-09-09T15:00:00Z,ad_click,visitor_control_003,session_control_003,pl_004,"{""course_id"":""course_python_base"",""landing_url"":""https://postupashki.example/courses/python-base""}",true
evt_control_025,scenario_03_lead_no_payment,2026-09-09T15:00:03Z,landing_view,visitor_control_003,session_control_003,pl_004,"{""course_id"":""course_python_base"",""page_url"":""https://postupashki.example/courses/python-base""}",true
evt_control_026,scenario_03_lead_no_payment,2026-09-09T15:01:00Z,course_view,visitor_control_003,session_control_003,pl_004,"{""course_id"":""course_python_base""}",true
evt_control_027,scenario_03_lead_no_payment,2026-09-09T15:03:00Z,course_selected,visitor_control_003,session_control_003,pl_004,"{""course_id"":""course_python_base""}",true
evt_control_028,scenario_03_lead_no_payment,2026-09-09T15:04:00Z,manager_click,visitor_control_003,session_control_003,pl_004,"{""course_id"":""course_python_base""}",true
evt_control_029,scenario_03_lead_no_payment,2026-09-09T15:04:05Z,lead_created,visitor_control_003,session_control_003,pl_004,"{""lead_id"":""lead_control_003"",""course_id"":""course_python_base""}",true
evt_control_030,scenario_03_lead_no_payment,2026-09-09T15:07:00Z,conversation_started,visitor_control_003,session_control_003,pl_004,"{""lead_id"":""lead_control_003"",""course_id"":""course_python_base""}",true
evt_control_031,scenario_04_view_no_lead,2026-09-10T13:00:00Z,ad_click,visitor_control_004,session_control_004,pl_003,"{""course_id"":""course_data_analytics"",""landing_url"":""https://postupashki.example/courses/data-analytics""}",true
evt_control_032,scenario_04_view_no_lead,2026-09-10T13:00:03Z,landing_view,visitor_control_004,session_control_004,pl_003,"{""course_id"":""course_data_analytics"",""page_url"":""https://postupashki.example/courses/data-analytics""}",true
evt_control_033,scenario_04_view_no_lead,2026-09-10T13:02:00Z,course_view,visitor_control_004,session_control_004,pl_003,"{""course_id"":""course_data_analytics""}",true
